hangul_word,English_translation,hanja_word_with_x,hangul_hanja_tuple,hangul_hanja_char_tuple,hangul_seq,hanja_seq,hangul_hanja_tuple_num_parts,hangul_hanja_char_tuple_rank_tuple,hangul_hanja_char_tuple_rank
베이징,Beijing,X,"('베이징', 'X')","('이', 'X')",이,X,19,"(19, ('이', 'X'))",435
말레이시아,Malaysia,X,"('말레이시아', 'X')","('이', 'X')",이,X,19,"(19, ('이', 'X'))",435
많이,a lot / many / much,X,"('많이', 'X')","('이', 'X')",이,X,19,"(19, ('이', 'X'))",435
다이어트,diet,X,"('다이어트', 'X')","('이', 'X')",이,X,19,"(19, ('이', 'X'))",435
같이,together,X,"('같이', 'X')","('이', 'X')",이,X,19,"(19, ('이', 'X'))",435
할아버지,grandfather,X,"('할아버지', 'X')","('아', 'X')",아,X,19,"(19, ('아', 'X'))",434
피아노,piano,X,"('피아노', 'X')","('아', 'X')",아,X,19,"(19, ('아', 'X'))",434
좋아하다,to like,X,"('좋아하다', 'X')","('아', 'X')",아,X,19,"(19, ('아', 'X'))",434
아홉,nine,X,"('아홉', 'X')","('아', 'X')",아,X,19,"(19, ('아', 'X'))",434
아프리카,Africa,X,"('아프리카', 'X')","('아', 'X')",아,X,19,"(19, ('아', 'X'))",434
아프다,to be hurting / ill / in pain / hurt,X,"('아프다', 'X')","('아', 'X')",아,X,19,"(19, ('아', 'X'))",434
아침,morning,X,"('아침', 'X')","('아', 'X')",아,X,19,"(19, ('아', 'X'))",434
아직,"(not) yet, still",X,"('아직', 'X')","('아', 'X')",아,X,19,"(19, ('아', 'X'))",434
아주,very / quite,X,"('아주', 'X')","('아', 'X')",아,X,19,"(19, ('아', 'X'))",434
아이스크림,ice cream,X,"('아이스크림', 'X')","('아', 'X')",아,X,19,"(19, ('아', 'X'))",434
아이,child,X,"('아이', 'X')","('아', 'X')",아,X,19,"(19, ('아', 'X'))",434
아버지,father,X,"('아버지', 'X')","('아', 'X')",아,X,19,"(19, ('아', 'X'))",434
아래,under / below,X,"('아래', 'X')","('아', 'X')",아,X,19,"(19, ('아', 'X'))",434
아들,son,X,"('아들', 'X')","('아', 'X')",아,X,19,"(19, ('아', 'X'))",434
아내,wife,X,"('아내', 'X')","('아', 'X')",아,X,19,"(19, ('아', 'X'))",434
아까,"earlier (today), a while ago (today)",X,"('아까', 'X')","('아', 'X')",아,X,19,"(19, ('아', 'X'))",434
아기,baby,X,"('아기', 'X')","('아', 'X')",아,X,19,"(19, ('아', 'X'))",434
말레이시아,Malaysia,X,"('말레이시아', 'X')","('아', 'X')",아,X,19,"(19, ('아', 'X'))",434
갈아타다,to transfer,X,"('갈아타다', 'X')","('아', 'X')",아,X,19,"(19, ('아', 'X'))",434
요리하다,to cook,料理하다,"('요리하다', '料理하다')","('리', '理')",리,理,18,"(18, ('리', '理'))",433
요리사,chef,料理師,"('요리사', '料理師')","('리', '理')",리,理,18,"(18, ('리', '理'))",433
요리,cooking,料理,"('요리', '料理')","('리', '理')",리,理,18,"(18, ('리', '理'))",433
허리,waist,X,"('허리', 'X')","('리', 'X')",리,X,18,"(18, ('리', 'X'))",432
파리,Paris,X,"('파리', 'X')","('리', 'X')",리,X,18,"(18, ('리', 'X'))",432
자리,seat place,X,"('자리', 'X')","('리', 'X')",리,X,18,"(18, ('리', 'X'))",432
우리,we / our,X,"('우리', 'X')","('리', 'X')",리,X,18,"(18, ('리', 'X'))",432
아프리카,Africa,X,"('아프리카', 'X')","('리', 'X')",리,X,18,"(18, ('리', 'X'))",432
빨리,quickly,X,"('빨리', 'X')","('리', 'X')",리,X,18,"(18, ('리', 'X'))",432
머리,head,X,"('머리', 'X')","('리', 'X')",리,X,18,"(18, ('리', 'X'))",432
마드리드,Madrid,X,"('마드리드', 'X')","('리', 'X')",리,X,18,"(18, ('리', 'X'))",432
달리다,to run,X,"('달리다', 'X')","('리', 'X')",리,X,18,"(18, ('리', 'X'))",432
다리,leg,X,"('다리', 'X')","('리', 'X')",리,X,18,"(18, ('리', 'X'))",432
내리다,to get off,X,"('내리다', 'X')","('리', 'X')",리,X,18,"(18, ('리', 'X'))",432
기다리다,to wait,X,"('기다리다', 'X')","('리', 'X')",리,X,18,"(18, ('리', 'X'))",432
그리다,to draw to paint,X,"('그리다', 'X')","('리', 'X')",리,X,18,"(18, ('리', 'X'))",432
그리고,and,X,"('그리고', 'X')","('리', 'X')",리,X,18,"(18, ('리', 'X'))",432
걸리다,to take (time),X,"('걸리다', 'X')","('리', 'X')",리,X,18,"(18, ('리', 'X'))",432
일기,diary,日記,"('일기', '日記')","('기', '記')",기,記,17,"(17, ('기', '記'))",431
기자,reporter,記者,"('기자', '記者')","('기', '記')",기,記,17,"(17, ('기', '記'))",431
기차,train,汽車,"('기차', '汽車')","('기', '汽')",기,汽,17,"(17, ('기', '汽'))",430
기분,feeling,氣分,"('기분', '氣分')","('기', '氣')",기,氣,17,"(17, ('기', '氣'))",429
감기,cold,感氣,"('감기', '感氣')","('기', '氣')",기,氣,17,"(17, ('기', '氣'))",429
비행기,airplane,飛行機,"('비행기', '飛行機')","('기', '機')",기,機,17,"(17, ('기', '機'))",428
기숙사,dormitory,寄宿舍,"('기숙사', '寄宿舍')","('기', '寄')",기,寄,17,"(17, ('기', '寄'))",427
기타,guitar,其他,"('기타', '其他')","('기', '其')",기,其,17,"(17, ('기', '其'))",426
이야기하다,to talk,X,"('이야기하다', 'X')","('기', 'X')",기,X,17,"(17, ('기', 'X'))",425
여기,here,X,"('여기', 'X')","('기', 'X')",기,X,17,"(17, ('기', 'X'))",425
아기,baby,X,"('아기', 'X')","('기', 'X')",기,X,17,"(17, ('기', 'X'))",425
불고기,bulgogi,X,"('불고기', 'X')","('기', 'X')",기,X,17,"(17, ('기', 'X'))",425
말하기,speaking,X,"('말하기', 'X')","('기', 'X')",기,X,17,"(17, ('기', 'X'))",425
기침,cough,X,"('기침', 'X')","('기', 'X')",기,X,17,"(17, ('기', 'X'))",425
기차표,train ticket,X,"('기차표', 'X')","('기', 'X')",기,X,17,"(17, ('기', 'X'))",425
기다리다,to wait,X,"('기다리다', 'X')","('기', 'X')",기,X,17,"(17, ('기', 'X'))",425
고기,meat,X,"('고기', 'X')","('기', 'X')",기,X,17,"(17, ('기', 'X'))",425
한국어,Korean (language),韓國語,"('한국어', '韓國語')","('어', '語')",어,語,16,"(16, ('어', '語'))",424
중국어,Chinese (language),中國語,"('중국어', '中國語')","('어', '語')",어,語,16,"(16, ('어', '語'))",424
일본어,Japanese (language),日本語,"('일본어', '日本語')","('어', '語')",어,語,16,"(16, ('어', '語'))",424
영어,English (language),英語,"('영어', '英語')","('어', '語')",어,語,16,"(16, ('어', '語'))",424
프랑스어,French (language),X,"('프랑스어', 'X')","('어', 'X')",어,X,16,"(16, ('어', 'X'))",423
일어나다,to get up,X,"('일어나다', 'X')","('어', 'X')",어,X,16,"(16, ('어', 'X'))",423
어제,yesterday,X,"('어제', 'X')","('어', 'X')",어,X,16,"(16, ('어', 'X'))",423
어머니,mother,X,"('어머니', 'X')","('어', 'X')",어,X,16,"(16, ('어', 'X'))",423
어렵다,difficult,X,"('어렵다', 'X')","('어', 'X')",어,X,16,"(16, ('어', 'X'))",423
어떻게,how,X,"('어떻게', 'X')","('어', 'X')",어,X,16,"(16, ('어', 'X'))",423
어떤,what kind of,X,"('어떤', 'X')","('어', 'X')",어,X,16,"(16, ('어', 'X'))",423
어디,where,X,"('어디', 'X')","('어', 'X')",어,X,16,"(16, ('어', 'X'))",423
어깨,shoulder,X,"('어깨', 'X')","('어', 'X')",어,X,16,"(16, ('어', 'X'))",423
들어가다,to go in to enter,X,"('들어가다', 'X')","('어', 'X')",어,X,16,"(16, ('어', 'X'))",423
다이어트,diet,X,"('다이어트', 'X')","('어', 'X')",어,X,16,"(16, ('어', 'X'))",423
넘어지다,fall down,X,"('넘어지다', 'X')","('어', 'X')",어,X,16,"(16, ('어', 'X'))",423
지난,last,至難,"('지난', '至難')","('지', '至')",지,至,15,"(15, ('지', '至'))",422
편지,letter,便紙,"('편지', '便紙')","('지', '紙')",지,紙,15,"(15, ('지', '紙'))",421
지갑,wallet,紙匣,"('지갑', '紙匣')","('지', '紙')",지,紙,15,"(15, ('지', '紙'))",421
지하철역,subway station,地下鐵驛,"('지하철역', '地下鐵驛')","('지', '地')",지,地,15,"(15, ('지', '地'))",420
지하철,subway,地下鐵,"('지하철', '地下鐵')","('지', '地')",지,地,15,"(15, ('지', '地'))",420
지금,now,只今,"('지금', '只今')","('지', '只')",지,只,15,"(15, ('지', '只'))",419
할아버지,grandfather,X,"('할아버지', 'X')","('지', 'X')",지,X,15,"(15, ('지', 'X'))",418
