Korean,English,word_in_English_def,num_definitions_with_word
작년,last year,year,2
년,year,year,2
-,-,year,2
고민,agony / worry,worry,2
걱정,worry / concern,worry,2
-,-,worry,2
누구,who,who,2
누가,who,who,2
-,-,who,2
주일,week,week,2
요일,a day of the week,week,2
-,-,week,2
입다,to wear / to put on,wear,2
쓰다,to wear /to put on (a hat),wear,2
-,-,wear,2
찬물,cold water,water,2
물,water,water,2
-,-,water,2
시계,watch / clock,watch,2
보다,"to see, to watch, to look at",watch,2
-,-,watch,2
투표하다,to vote,vote,2
투표,vote,vote,2
-,-,vote,2
참,very / really,very,2
아주,"very, quite",very,2
-,-,very,2
이용,use,use,2
사용하다,to use,use,2
-,-,use,2
기차표,train ticket,train,2
기차,train,train,2
-,-,train,2
한복,hanbok (traditional Korean costume),traditional,2
온돌방,traditional Korean room / hot-floored room,traditional,2
-,-,traditional,2
오늘,today,today,2
아까,"earlier (today), a while ago (today)",today,2
-,-,today,2
표,ticket,ticket,2
기차표,train ticket,ticket,2
-,-,ticket,2
천,thousand,thousand,2
십만,hundred thousand,thousand,2
-,-,thousand,2
열,ten,ten,2
십,ten,ten,2
-,-,ten,2
수영장,swimming pool,swimming,2
수영,swimming,swimming,2
-,-,swimming,2
공부하다,to study,study,2
공부,study / learning,study,2
-,-,study,2
백화점,department store,store,2
가게,store / shop,store,2
-,-,store,2
육,six,six,2
여섯,six,six,2
-,-,six,2
커피숍,coffee shop,shop,2
가게,store / shop,shop,2
-,-,shop,2
칠,seven,seven,2
일곱,seven,seven,2
-,-,seven,2
콧물,runny nose,runny,2
나다,to have (a fever/a runny nose),runny,2
-,-,runny,2
오른쪽,right side,right,2
맞다,right,right,2
-,-,right,2
화장실,rest room,rest,2
쉬다,to rest,rest,2
-,-,rest,2
찍다,to take (a picture),picture,2
그림,picture / drawing,picture,2
-,-,picture,2
핸드폰,mobile phone,phone,2
전화,cellular phone/mobile,phone,2
-,-,phone,2
한번,once,once,2
또,again / once more,once,2
-,-,once,2
우체국,post office,office,2
사무실,office,office,2
-,-,office,2
벗다,to take off,off,2
내리다,to get off,off,2
-,-,off,2
아홉,nine,nine,2
구,nine,nine,2
-,-,nine,2
다음,next,next,2
나중에,"later, next time",next,2
-,-,next,2
이름,name,name,2
성함,name (honorific),name,2
-,-,name,2
제,my,my,2
내,my,my,2
-,-,my,2
영화,movie,movie,2
극장,movie theater,movie,2
-,-,movie,2
산,mountain,mountain,2
등산,mountain climbing / hiking,mountain,2
-,-,mountain,2
오전,morning / a.m.,morning,2
아침,morning,morning,2
-,-,morning,2
또,again / once more,more,2
더,more,more,2
-,-,more,2
월,month,month,2
달,month,month,2
-,-,month,2
원,KRW / won (Korean money),money,2
돈,money,money,2
-,-,money,2
핸드폰,mobile phone,mobile,2
전화,cellular phone/mobile,mobile,2
-,-,mobile,2
부치다,to send / to mail,mail,2
보내다,to send / to mail,mail,2
-,-,mail,2
주차장,parking lot,lot,2
많이,a lot,lot,2
-,-,lot,2
찾다,to look for,look,2
보다,"to see, to watch, to look at",look,2
-,-,look,2
얼마나,how long,long,2
길다,long,long,2
-,-,long,2
좋아하다,to like,like,2
이렇게,like this /in this way,like,2
-,-,like,2
지난,last,last,2
작년,last year,last,2
-,-,last,2
재미있다,interesting,interesting,2
재미없다,not interesting,interesting,2
-,-,interesting,2
아프다,ill /in pain hurt,hurt,2
다치다,to be hurt,hurt,2
-,-,hurt,2
십만,hundred thousand,hundred,2
백,hundred,hundred,2
-,-,hundred,2
맵다,hot and spicy,hot,2
덥다,hot,hot,2
-,-,hot,2
숙제하다,to do homework,homework,2
숙제,homework,homework,2
-,-,homework,2
높다,high,high,2
고등학생,high school student,high,2
-,-,high,2
쓰다,to wear /to put on (a hat),hat,2
모자,hat / cap,hat,2
-,-,hat,2
녹차,green tea,green,2
녹색,green,green,2
-,-,green,2
좋다,good,good,2
잘하다,be good at,good,2
-,-,good,2
오,five,five,2
다섯,five,five,2
-,-,five,2
생선회,sliced raw fish,fish,2
생선,fish,fish,2
-,-,fish,2
열,fever,fever,2
나다,to have (a fever/a runny nose),fever,2
-,-,fever,2
운동하다,to exercise / to work out,exercise,2
운동,exercise / workout,exercise,2
-,-,exercise,2
팔,eight,eight,2
여덟,eight,eight,2
-,-,eight,2
먹다,to eat,eat,2
드시다,to eat (honorific),eat,2
-,-,eat,2
앉다,to sit down,down,2
넘어지다,fall down,down,2
-,-,down,2
커피숍,coffee shop,coffee,2
커피,coffee,coffee,2
-,-,coffee,2
피우다,to smoke (a cigarette),cigarette,2
담배,cigarette,cigarette,2
-,-,cigarette,2
그렇지만,but,but,2
그런데,but/ by the way,but,2
-,-,but,2
홍차,black tea,black,2
까만색,black,black,2
-,-,black,2
뒷사람,person behind,behind,2
뒤,behind,behind,2
-,-,behind,2
침대,bed,bed,2
방,room with a bed,bed,2
-,-,bed,2
은행원,bank clerk,bank,2
은행,bank,bank,2
-,-,bank,2
영국,the United Kingdom,United,2
미국,the United States of America,United,2
-,-,United,2
