hanja_char,hanja_word_with_x,hangul_word,English_translation
結,結婚,결혼,marriage
結,-,-,-
紙,紙匣,지갑,wallet
紙,便紙,편지,letter
紙,-,-,-
等,高等學生,고등학생,high school student
等,初等學生,초등학생,elementary school student
等,-,-,-
票,投票하다,투표하다,to vote
票,投票,투표,vote
票,-,-,-
發,出發하다,출발하다,to depart
發,出發,출발,departure
發,-,-,-
男,男子,남자,man male
男,男便,남편,husband
男,-,-,-
球,野球,야구,baseball
球,蹴球,축구,soccer
球,-,-,-
港,空港,공항,airport
港,仁川空港,인천공항,Incheon Airport
港,-,-,-
淸,淸掃하다,청소하다,to clean
淸,淸掃,청소,cleaning
淸,-,-,-
氣,氣分,기분,feeling
氣,感氣,감기,cold
氣,-,-,-
會,會社員,회사원,company employee
會,會社,회사,company
會,-,-,-
書,葉書,엽서,postcard
書,圖書館,도서관,library
書,-,-,-
掃,淸掃하다,청소하다,to clean
掃,淸掃,청소,cleaning
掃,-,-,-
投,投票하다,투표하다,to vote
投,投票,투표,vote
投,-,-,-
所,洗濯所,세탁소,dry cleaner's
所,住所,주소,address
所,-,-,-
房,溫突房,온돌방,traditional Korean room / hot-floored room
房,冊房,책방,bookstore
房,-,-,-
工,工夫하다,공부하다,to study
工,工夫,공부,study / learning
工,-,-,-
局,郵遞局,우체국,post office
局,藥局,약국,pharmacy
局,-,-,-
婚,結婚하다,결혼하다,to marry
婚,結婚,결혼,marriage
婚,-,-,-
女,女子,여자,woman female
女,女同生,여동생,younger sister
女,-,-,-
夫,工夫하다,공부하다,to study
夫,工夫,공부,study / learning
夫,-,-,-
地,地下鐵驛,지하철역,subway station
地,地下鐵,지하철,subway
地,-,-,-
同,女同生,여동생,younger sister
同,同生,동생,younger brother or sister
同,-,-,-
午,午後,오후,afternoon / p.m.
午,午前,오전,morning / a.m.
午,-,-,-
出,出發하다,출발하다,to depart
出,出發,출발,departure
出,-,-,-
冷,冷麵,냉면,naengmyeon
冷,冷藏庫,냉장고,refrigerator
冷,-,-,-
內,案內,안내,information guide
內,市內,시내,downtown
內,-,-,-
便,男便,남편,husband
便,便紙,편지,letter
便,-,-,-
下,地下鐵驛,지하철역,subway station
下,地下鐵,지하철,subway
下,-,-,-
