hangul_word,English_translation,hanja_word_with_x,hangul_hanja_tuple,hangul_hanja_char_tuple,hangul_seq,hanja_seq,hangul_hanja_tuple_num_parts,hangul_hanja_char_tuple_rank_tuple,hangul_hanja_char_tuple_rank
달리다,to run,X,"('달리다', 'X')","('리', 'X')",리,X,15,"(15, ('리', 'X'))",262
다리,leg,X,"('다리', 'X')","('리', 'X')",리,X,15,"(15, ('리', 'X'))",262
내리다,to get off,X,"('내리다', 'X')","('리', 'X')",리,X,15,"(15, ('리', 'X'))",262
기다리다,to wait,X,"('기다리다', 'X')","('리', 'X')",리,X,15,"(15, ('리', 'X'))",262
그리다,to draw to paint,X,"('그리다', 'X')","('리', 'X')",리,X,15,"(15, ('리', 'X'))",262
그리고,and,X,"('그리고', 'X')","('리', 'X')",리,X,15,"(15, ('리', 'X'))",262
걸리다,to take (time),X,"('걸리다', 'X')","('리', 'X')",리,X,15,"(15, ('리', 'X'))",262
프랑스어,French (language),X,"('프랑스어', 'X')","('어', 'X')",어,X,12,"(12, ('어', 'X'))",261
일어나다,to get up,X,"('일어나다', 'X')","('어', 'X')",어,X,12,"(12, ('어', 'X'))",261
어제,yesterday,X,"('어제', 'X')","('어', 'X')",어,X,12,"(12, ('어', 'X'))",261
어머니,mother,X,"('어머니', 'X')","('어', 'X')",어,X,12,"(12, ('어', 'X'))",261
어렵다,difficult,X,"('어렵다', 'X')","('어', 'X')",어,X,12,"(12, ('어', 'X'))",261
어떻게,how,X,"('어떻게', 'X')","('어', 'X')",어,X,12,"(12, ('어', 'X'))",261
어떤,what kind of,X,"('어떤', 'X')","('어', 'X')",어,X,12,"(12, ('어', 'X'))",261
어디,where,X,"('어디', 'X')","('어', 'X')",어,X,12,"(12, ('어', 'X'))",261
어깨,shoulder,X,"('어깨', 'X')","('어', 'X')",어,X,12,"(12, ('어', 'X'))",261
들어가다,to go in to enter,X,"('들어가다', 'X')","('어', 'X')",어,X,12,"(12, ('어', 'X'))",261
다이어트,diet,X,"('다이어트', 'X')","('어', 'X')",어,X,12,"(12, ('어', 'X'))",261
넘어지다,fall down,X,"('넘어지다', 'X')","('어', 'X')",어,X,12,"(12, ('어', 'X'))",261
하나,one,X,"('하나', 'X')","('나', 'X')",나,X,12,"(12, ('나', 'X'))",260
캐나다,Canada,X,"('캐나다', 'X')","('나', 'X')",나,X,12,"(12, ('나', 'X'))",260
일어나다,to get up,X,"('일어나다', 'X')","('나', 'X')",나,X,12,"(12, ('나', 'X'))",260
얼마나,how long,X,"('얼마나', 'X')","('나', 'X')",나,X,12,"(12, ('나', 'X'))",260
바나나,banana,X,"('바나나', 'X')","('나', 'X')",나,X,12,"(12, ('나', 'X'))",260
바나나,banana,X,"('바나나', 'X')","('나', 'X')",나,X,12,"(12, ('나', 'X'))",260
만나다,to meet,X,"('만나다', 'X')","('나', 'X')",나,X,12,"(12, ('나', 'X'))",260
누나,elder sister from a male perspective,X,"('누나', 'X')","('나', 'X')",나,X,12,"(12, ('나', 'X'))",260
나중에,"later, next time",X,"('나중에', 'X')","('나', 'X')",나,X,12,"(12, ('나', 'X'))",260
나쁘다,bad,X,"('나쁘다', 'X')","('나', 'X')",나,X,12,"(12, ('나', 'X'))",260
나다,to have (a fever/a runny nose),X,"('나다', 'X')","('나', 'X')",나,X,12,"(12, ('나', 'X'))",260
끝나다,to be finished,X,"('끝나다', 'X')","('나', 'X')",나,X,12,"(12, ('나', 'X'))",260
프랑스어,French (language),X,"('프랑스어', 'X')","('스', 'X')",스,X,10,"(10, ('스', 'X'))",259
프랑스,France,X,"('프랑스', 'X')","('스', 'X')",스,X,10,"(10, ('스', 'X'))",259
테니스,tennis,X,"('테니스', 'X')","('스', 'X')",스,X,10,"(10, ('스', 'X'))",259
주스,juice,X,"('주스', 'X')","('스', 'X')",스,X,10,"(10, ('스', 'X'))",259
아이스크림,ice cream,X,"('아이스크림', 'X')","('스', 'X')",스,X,10,"(10, ('스', 'X'))",259
스파게티,spaghetti,X,"('스파게티', 'X')","('스', 'X')",스,X,10,"(10, ('스', 'X'))",259
스키장,ski resort,X,"('스키장', 'X')","('스', 'X')",스,X,10,"(10, ('스', 'X'))",259
스키,skiing,X,"('스키', 'X')","('스', 'X')",스,X,10,"(10, ('스', 'X'))",259
버스,bus,X,"('버스', 'X')","('스', 'X')",스,X,10,"(10, ('스', 'X'))",259
뉴스,news,X,"('뉴스', 'X')","('스', 'X')",스,X,10,"(10, ('스', 'X'))",259
학생,student,學生,"('학생', '學生')","('생', '生')",생,生,10,"(10, ('생', '生'))",258
초등학생,elementary school student,初等學生,"('초등학생', '初等學生')","('생', '生')",생,生,10,"(10, ('생', '生'))",258
중학생,middle school student,中學生,"('중학생', '中學生')","('생', '生')",생,生,10,"(10, ('생', '生'))",258
여동생,younger sister,女同生,"('여동생', '女同生')","('생', '生')",생,生,10,"(10, ('생', '生'))",258
생일,birthday,生日,"('생일', '生日')","('생', '生')",생,生,10,"(10, ('생', '生'))",258
생선회,sliced raw fish,生鮮膾,"('생선회', '生鮮膾')","('생', '生')",생,生,10,"(10, ('생', '生'))",258
생선,fish,生鮮,"('생선', '生鮮')","('생', '生')",생,生,10,"(10, ('생', '生'))",258
동생,younger brother or sister,同生,"('동생', '同生')","('생', '生')",생,生,10,"(10, ('생', '生'))",258
대학생,university student,大學生,"('대학생', '大學生')","('생', '生')",생,生,10,"(10, ('생', '生'))",258
고등학생,high school student,高等學生,"('고등학생', '高等學生')","('생', '生')",생,生,10,"(10, ('생', '生'))",258
그분,that person (honorific),X,"('그분', 'X')","('그', 'X')",그,X,10,"(10, ('그', 'X'))",257
그림,picture / drawing,X,"('그림', 'X')","('그', 'X')",그,X,10,"(10, ('그', 'X'))",257
그리다,to draw to paint,X,"('그리다', 'X')","('그', 'X')",그,X,10,"(10, ('그', 'X'))",257
그리고,and,X,"('그리고', 'X')","('그', 'X')",그,X,10,"(10, ('그', 'X'))",257
그렇지만,but,X,"('그렇지만', 'X')","('그', 'X')",그,X,10,"(10, ('그', 'X'))",257
그럼,then / in that case,X,"('그럼', 'X')","('그', 'X')",그,X,10,"(10, ('그', 'X'))",257
그런데,but/ by the way,X,"('그런데', 'X')","('그', 'X')",그,X,10,"(10, ('그', 'X'))",257
그래서,so,X,"('그래서', 'X')","('그', 'X')",그,X,10,"(10, ('그', 'X'))",257
그거,that (one),X,"('그거', 'X')","('그', 'X')",그,X,10,"(10, ('그', 'X'))",257
그,that,X,"('그', 'X')","('그', 'X')",그,X,10,"(10, ('그', 'X'))",257
할아버지,grandfather,X,"('할아버지', 'X')","('지', 'X')",지,X,9,"(9, ('지', 'X'))",256
청바지,jeans,X,"('청바지', 'X')","('지', 'X')",지,X,9,"(9, ('지', 'X'))",256
지우개,eraser,X,"('지우개', 'X')","('지', 'X')",지,X,9,"(9, ('지', 'X'))",256
오렌지,orange,X,"('오렌지', 'X')","('지', 'X')",지,X,9,"(9, ('지', 'X'))",256
아버지,father,X,"('아버지', 'X')","('지', 'X')",지,X,9,"(9, ('지', 'X'))",256
바지,trousers pants,X,"('바지', 'X')","('지', 'X')",지,X,9,"(9, ('지', 'X'))",256
만지다,to touch,X,"('만지다', 'X')","('지', 'X')",지,X,9,"(9, ('지', 'X'))",256
넘어지다,fall down,X,"('넘어지다', 'X')","('지', 'X')",지,X,9,"(9, ('지', 'X'))",256
그렇지만,but,X,"('그렇지만', 'X')","('지', 'X')",지,X,9,"(9, ('지', 'X'))",256
이야기하다,to talk,X,"('이야기하다', 'X')","('기', 'X')",기,X,9,"(9, ('기', 'X'))",255
여기,here,X,"('여기', 'X')","('기', 'X')",기,X,9,"(9, ('기', 'X'))",255
아기,baby,X,"('아기', 'X')","('기', 'X')",기,X,9,"(9, ('기', 'X'))",255
불고기,bulgogi,X,"('불고기', 'X')","('기', 'X')",기,X,9,"(9, ('기', 'X'))",255
말하기,speaking,X,"('말하기', 'X')","('기', 'X')",기,X,9,"(9, ('기', 'X'))",255
기침,cough,X,"('기침', 'X')","('기', 'X')",기,X,9,"(9, ('기', 'X'))",255
기차표,train ticket,X,"('기차표', 'X')","('기', 'X')",기,X,9,"(9, ('기', 'X'))",255
기다리다,to wait,X,"('기다리다', 'X')","('기', 'X')",기,X,9,"(9, ('기', 'X'))",255
고기,meat,X,"('고기', 'X')","('기', 'X')",기,X,9,"(9, ('기', 'X'))",255
피자,pizza,X,"('피자', 'X')","('피', 'X')",피,X,8,"(8, ('피', 'X'))",254
피우다,to smoke (a cigarette),X,"('피우다', 'X')","('피', 'X')",피,X,8,"(8, ('피', 'X'))",254
피아노,piano,X,"('피아노', 'X')","('피', 'X')",피,X,8,"(8, ('피', 'X'))",254
피라미드,pyramid,X,"('피라미드', 'X')","('피', 'X')",피,X,8,"(8, ('피', 'X'))",254
피곤하다,tired,X,"('피곤하다', 'X')","('피', 'X')",피,X,8,"(8, ('피', 'X'))",254
피,blood,X,"('피', 'X')","('피', 'X')",피,X,8,"(8, ('피', 'X'))",254
커피숍,coffee shop,X,"('커피숍', 'X')","('피', 'X')",피,X,8,"(8, ('피', 'X'))",254
커피,coffee,X,"('커피', 'X')","('피', 'X')",피,X,8,"(8, ('피', 'X'))",254
집안일,chores,X,"('집안일', 'X')","('일', 'X')",일,X,8,"(8, ('일', 'X'))",253
일하다,to work,X,"('일하다', 'X')","('일', 'X')",일,X,8,"(8, ('일', 'X'))",253
일어나다,to get up,X,"('일어나다', 'X')","('일', 'X')",일,X,8,"(8, ('일', 'X'))",253
일곱,seven,X,"('일곱', 'X')","('일', 'X')",일,X,8,"(8, ('일', 'X'))",253
일,one | day | work,X,"('일', 'X')","('일', 'X')",일,X,8,"(8, ('일', 'X'))",253
이메일,e-mail,X,"('이메일', 'X')","('일', 'X')",일,X,8,"(8, ('일', 'X'))",253
세일,sale,X,"('세일', 'X')","('일', 'X')",일,X,8,"(8, ('일', 'X'))",253
과일,fruit,X,"('과일', 'X')","('일', 'X')",일,X,8,"(8, ('일', 'X'))",253
월요일,Monday,月曜日,"('월요일', '月曜日')","('월', '月')",월,月,8,"(8, ('월', '月'))",252
오월,May,五月,"('오월', '五月')","('월', '月')",월,月,8,"(8, ('월', '月'))",252
십일월,November,十一月,"('십일월', '十一月')","('월', '月')",월,月,8,"(8, ('월', '月'))",252
십이월,December,十二月,"('십이월', '十二月')","('월', '月')",월,月,8,"(8, ('월', '月'))",252
시월,October,十月,"('시월', '十月')","('월', '月')",월,月,8,"(8, ('월', '月'))",252
삼월,March,三月,"('삼월', '三月')","('월', '月')",월,月,8,"(8, ('월', '月'))",252
사월,April,四月,"('사월', '四月')","('월', '月')",월,月,8,"(8, ('월', '月'))",252
구월,September,九月,"('구월', '九月')","('월', '月')",월,月,8,"(8, ('월', '月'))",252
화요일,Tuesday,火曜日,"('화요일', '火曜日')","('요일', '曜日')",요일,曜日,8,"(8, ('요일', '曜日'))",251
토요일,Saturday,土曜日,"('토요일', '土曜日')","('요일', '曜日')",요일,曜日,8,"(8, ('요일', '曜日'))",251
일요일,Sunday,日曜日,"('일요일', '日曜日')","('요일', '曜日')",요일,曜日,8,"(8, ('요일', '曜日'))",251
월요일,Monday,月曜日,"('월요일', '月曜日')","('요일', '曜日')",요일,曜日,8,"(8, ('요일', '曜日'))",251
요일,a day of the week,曜日,"('요일', '曜日')","('요일', '曜日')",요일,曜日,8,"(8, ('요일', '曜日'))",251
수요일,Wednesday,水曜日,"('수요일', '水曜日')","('요일', '曜日')",요일,曜日,8,"(8, ('요일', '曜日'))",251
목요일,Thursday,木曜日,"('목요일', '木曜日')","('요일', '曜日')",요일,曜日,8,"(8, ('요일', '曜日'))",251
금요일,Friday,金曜日,"('금요일', '金曜日')","('요일', '曜日')",요일,曜日,8,"(8, ('요일', '曜日'))",251
화요일,Tuesday,火曜日,"('화요일', '火曜日')","('요', '曜')",요,曜,8,"(8, ('요', '曜'))",250
토요일,Saturday,土曜日,"('토요일', '土曜日')","('요', '曜')",요,曜,8,"(8, ('요', '曜'))",250
일요일,Sunday,日曜日,"('일요일', '日曜日')","('요', '曜')",요,曜,8,"(8, ('요', '曜'))",250
월요일,Monday,月曜日,"('월요일', '月曜日')","('요', '曜')",요,曜,8,"(8, ('요', '曜'))",250
요일,a day of the week,曜日,"('요일', '曜日')","('요', '曜')",요,曜,8,"(8, ('요', '曜'))",250
수요일,Wednesday,水曜日,"('수요일', '水曜日')","('요', '曜')",요,曜,8,"(8, ('요', '曜'))",250
목요일,Thursday,木曜日,"('목요일', '木曜日')","('요', '曜')",요,曜,8,"(8, ('요', '曜'))",250
금요일,Friday,金曜日,"('금요일', '金曜日')","('요', '曜')",요,曜,8,"(8, ('요', '曜'))",250
인사동,Insa-dong,X,"('인사동', 'X')","('사', 'X')",사,X,8,"(8, ('사', 'X'))",249
사용하다,to use,X,"('사용하다', 'X')","('사', 'X')",사,X,8,"(8, ('사', 'X'))",249
사랑하다,to love,X,"('사랑하다', 'X')","('사', 'X')",사,X,8,"(8, ('사', 'X'))",249
사람,human / person,X,"('사람', 'X')","('사', 'X')",사,X,8,"(8, ('사', 'X'))",249
사다,to buy,X,"('사다', 'X')","('사', 'X')",사,X,8,"(8, ('사', 'X'))",249
사,four,X,"('사', 'X')","('사', 'X')",사,X,8,"(8, ('사', 'X'))",249
뒷사람,person behind,X,"('뒷사람', 'X')","('사', 'X')",사,X,8,"(8, ('사', 'X'))",249
눈사람,snowman,X,"('눈사람', 'X')","('사', 'X')",사,X,8,"(8, ('사', 'X'))",249
다치다,to be hurt,X,"('다치다', 'X')","('다', 'X')",다,X,8,"(8, ('다', 'X'))",248
다이어트,diet,X,"('다이어트', 'X')","('다', 'X')",다,X,8,"(8, ('다', 'X'))",248
다음,next,X,"('다음', 'X')","('다', 'X')",다,X,8,"(8, ('다', 'X'))",248
다섯,five,X,"('다섯', 'X')","('다', 'X')",다,X,8,"(8, ('다', 'X'))",248
다리,leg,X,"('다리', 'X')","('다', 'X')",다,X,8,"(8, ('다', 'X'))",248
다른,other,X,"('다른', 'X')","('다', 'X')",다,X,8,"(8, ('다', 'X'))",248
다니다,to go to (a company) / to work for,X,"('다니다', 'X')","('다', 'X')",다,X,8,"(8, ('다', 'X'))",248
기다리다,to wait,X,"('기다리다', 'X')","('다', 'X')",다,X,8,"(8, ('다', 'X'))",248
한국어,Korean (language),韓國語,"('한국어', '韓國語')","('국', '國')",국,國,8,"(8, ('국', '國'))",247
한국,Korea,韓國,"('한국', '韓國')","('국', '國')",국,國,8,"(8, ('국', '國'))",247
중국어,Chinese (language),中國語,"('중국어', '中國語')","('국', '國')",국,國,8,"(8, ('국', '國'))",247
중국,China,中國,"('중국', '中國')","('국', '國')",국,國,8,"(8, ('국', '國'))",247
외국,foreign country,外國,"('외국', '外國')","('국', '國')",국,國,8,"(8, ('국', '國'))",247
영국,the United Kingdom,英國,"('영국', '英國')","('국', '國')",국,國,8,"(8, ('국', '國'))",247
미국,the United States of America,美國,"('미국', '美國')","('국', '國')",국,國,8,"(8, ('국', '國'))",247
국적,nationality,國籍,"('국적', '國籍')","('국', '國')",국,國,8,"(8, ('국', '國'))",247
학생,student,學生,"('학생', '學生')","('학', '學')",학,學,7,"(7, ('학', '學'))",246
학교,school,學校,"('학교', '學校')","('학', '學')",학,學,7,"(7, ('학', '學'))",246
초등학생,elementary school student,初等學生,"('초등학생', '初等學生')","('학', '學')",학,學,7,"(7, ('학', '學'))",246
중학생,middle school student,中學生,"('중학생', '中學生')","('학', '學')",학,學,7,"(7, ('학', '學'))",246
방학,school holidays,放學,"('방학', '放學')","('학', '學')",학,學,7,"(7, ('학', '學'))",246
대학생,university student,大學生,"('대학생', '大學生')","('학', '學')",학,學,7,"(7, ('학', '學'))",246
고등학생,high school student,高等學生,"('고등학생', '高等學生')","('학', '學')",학,學,7,"(7, ('학', '學'))",246
택시,taxi,X,"('택시', 'X')","('시', 'X')",시,X,7,"(7, ('시', 'X'))",245
시청역,City Hall Station,X,"('시청역', 'X')","('시', 'X')",시,X,7,"(7, ('시', 'X'))",245
시끄럽다,noisy,X,"('시끄럽다', 'X')","('시', 'X')",시,X,7,"(7, ('시', 'X'))",245
시,o'clock,X,"('시', 'X')","('시', 'X')",시,X,7,"(7, ('시', 'X'))",245
말레이시아,Malaysia,X,"('말레이시아', 'X')","('시', 'X')",시,X,7,"(7, ('시', 'X'))",245
드시다,to eat (honorific),X,"('드시다', 'X')","('시', 'X')",시,X,7,"(7, ('시', 'X'))",245
계시다,to be/to stay (honorific),X,"('계시다', 'X')","('시', 'X')",시,X,7,"(7, ('시', 'X'))",245
젓가락,chopsticks,X,"('젓가락', 'X')","('가', 'X')",가,X,7,"(7, ('가', 'X'))",244
숟가락,spoon,X,"('숟가락', 'X')","('가', 'X')",가,X,7,"(7, ('가', 'X'))",244
들어가다,to go in to enter,X,"('들어가다', 'X')","('가', 'X')",가,X,7,"(7, ('가', 'X'))",244
누가,who,X,"('누가', 'X')","('가', 'X')",가,X,7,"(7, ('가', 'X'))",244
가르치다,to teach,X,"('가르치다', 'X')","('가', 'X')",가,X,7,"(7, ('가', 'X'))",244
가다,to go,X,"('가다', 'X')","('가', 'X')",가,X,7,"(7, ('가', 'X'))",244
가게,store / shop,X,"('가게', 'X')","('가', 'X')",가,X,7,"(7, ('가', 'X'))",244
은행원,bank clerk,銀行員,"('은행원', '銀行員')","('행', '行')",행,行,6,"(6, ('행', '行'))",243
