hangul_word,hanja_word_with_x,English_translation
아홉,X,nine
아프리카,X,Africa
아침,X,morning
아직,X,"(not) yet, still"
아이스크림,X,ice cream
아이,X,child
아버지,X,father
아래,X,under / below
아들,X,son
아내,X,wife
아까,X,"earlier (today), a while ago (today)"
아기,X,baby
씨,X,"Mr., Miss, Mrs., Ms."
싸다,X,cheap
십일월,十一月,November
십이월,十二月,December
십만,十萬,hundred thousand
십,X,ten
심심하다,X,bored
신발,X,shoes
신문,新聞,newspaper
신다,X,to put on (shoes)
식당,食堂,restaurant
시험,試驗,test
시청역,X,City Hall Station
시청,市廳,city hall
시장,市場,market
시월,十月,October
시내,市內,downtown
시끄럽다,X,noisy
시계,時計,watch / clock
시간표,時間表,time table
시간,時間,hour
시,X,o'clock
슬프다,X,sad
스파게티,X,spaghetti
스키장,X,ski resort
스키,X,skiing
쉽다,X,easy
쉬다,X,to rest
술,X,liquor
숟가락,X,spoon
숙제하다,X,to do homework
숙제,宿題,homework
수요일,水曜日,Wednesday
수영하다,X,to swim
수영장,水泳場,swimming pool
수영,水泳,swimming
손님,X,customer / guest
손,X,hand
소포,小包,parcel
소파,X,sofa
셋,X,three
세탁소,洗濯所,dry cleaner's
세일,X,sale
세우다,X,to stop
세,X,three (when modifying a counting unit that follows)
성함,姓銜,name (honorific)
선생님,X,teacher
서울,X,Seoul
샤워하다,X,to take a shower
생일,生日,birthday
생선회,生鮮膾,sliced raw fish
생선,生鮮,fish
생각,X,thinking / thought
색,X,color
삼월,三月,March
삼성역,X,Samseong Station
삼,X,three
살다,X,to live
산,X,mountain
사진,寫眞,photograph
사전,辭典,dictionary
사월,四月,April
사용하다,X,to use
사무실,事務室,office
사랑하다,X,to love
사다,X,to buy
사과,沙果,apple
사,X,four
빵,X,bread
빨리,X,quickly
빨래하다,X,to do laundry
빨간색,X,red
빠르다,X,to be fast
빌딩,X,building
비행기,飛行機,airplane
비빔밥,X,bibimbap
비,X,rain
브라질,X,Brasil
불고기,X,bulgogi
부치다,X,to send / to mail
부엌,X,kitchen
부산,釜山,Busan
볼펜,X,ball-point pen
복잡하다,X,crowded jammed
병원,病院,hospital
병,X,counting unit for bottles
별로,X,"not really, not particularly"
베트남,X,Vietnam
베이징,X,Beijing
벗다,X,to take off
벌써,X,already
번,X,counting unit after number
버스,X,bus
백화점,百貨店,department store
백,X,hundred
배우다,X,to learn
방학,放學,school holidays
방콕,X,Bangkok
발,X,foot
받다,X,to receive /to take /to get
반,X,half
밖,X,outside
바지,X,trousers pants
바다,X,sea ocean
바나나,X,banana
미안하다,X,sorry
미국,美國,the United States of America
뭐,X,what
물,X,water
문,X,door
목요일,木曜日,Thursday
모자,帽子,hat / cap
몇,X,how many
명동역,X,Myeongdong Station
명동,鳴動,Myeong-dong
명,X,counting unit for people
며칠,X,what date
메뉴,X,menu
멋있다,X,"to be nice, to be stylish"
먹다,X,to eat
머리,X,head
맥주,麥酒,beer
맞다,X,right
맛있다,X,tasty / delicious
맛없다,X,untasty
말하기,X,speaking
말레이시아,X,Malaysia
많다,X,many / much
만지다,X,to touch
만들다,X,to make
만나다,X,to meet
마드리드,X,Madrid
로마,X,Rome
런던,X,London
똑똑하다,X,smart
또,X,again / once more
땀,X,sweat
딸,X,daughter
따뜻하다,X,warm
등산,登山,mountain climbing / hiking
들어가다,X,to go in to enter
들다,X,to be contained
드시다,X,to eat (honorific)
드라마,X,drama (TV series)
뒷사람,X,person behind
뒤,X,behind
둘,X,two
두,X,two (when modifying a counting unit that follows)
동생,同生,younger brother or sister
돈,X,money
독일,獨逸,Germany
도쿄,X,Tokyo
도착하다,X,to arrive
도와주다,X,to help
도서관,圖書館,library
더,X,more
담배,X,cigarette
달리다,X,to run
달러,X,dollar
달,X,month
닫다,X,to close
다치다,X,to be hurt
다이어트,X,diet
다음,X,next
다섯,X,five
다리,X,leg
다른,X,other
다니다,X,to go to (a company) / to work for
늦다,X,to be late
뉴욕,X,New York
뉴스,X,news
눈사람,X,snowman
누나,X,elder sister from a male perspective
누구,X,who
누가,X,who
높다,X,high
녹차,綠茶,green tea
녹색,綠色,green
노래하다,X,to sing
노란색,X,yellow
년,X,year
넷,X,four
네,X,four (when modifying a counting unit that follows)
넘어지다,X,fall down
너무,X,too
냉장고,冷藏庫,refrigerator
냉면,冷麵,naengmyeon
내일,來日,tomorrow
내리다,X,to get off
내다,X,to pay
내,X,my
낮다,X,low
남편,男便,husband
남자,男子,man male
남동생,X,younger brother
날씨,X,weather
나중에,X,"later, next time"
나다,X,to have (a fever/a runny nose)
끝내다,X,to finish
끝나다,X,to be finished
꽃,X,flower
깎다,X,to discount
까만색,X,black
김치,X,kimchi
김밥,X,gimbap
길,X,road / way
기타,其他,guitar
기침,X,cough
기차표,X,train ticket
기차,汽車,train
기자,記者,reporter
기숙사,寄宿舍,dormitory
기분,氣分,feeling
기다리다,X,to wait
금요일,金曜日,Friday
극장,劇場,movie theater
그분,X,that person (honorific)
그림,X,picture / drawing
그리다,X,to draw to paint
그리고,X,and
그렇지만,X,but
그럼,X,then / in that case
그런데,X,but/ by the way
그래서,X,so
그거,X,that (one)
그,X,that
귀,X,ear
국적,國籍,nationality
구월,九月,September
구두,口頭,dress shoes
구,X,nine
교실,敎室,classroom
괜찮다,X,alright
과일,X,fruit
공항,空港,airport
공책,空冊,notebook
공원,工員,park
공원,公園,park
공부하다,X,to study
공부,工夫,study / learning
공,X,zero
고민,苦悶,agony / worry
고등학생,高等學生,high school student
고기,X,meat
계시다,X,to be/to stay (honorific)
결혼하다,X,to marry
결혼,結婚,marriage
걸리다,X,to take (time)
걷다,X,to walk
건강,健康,health
걱정,X,worry / concern
개,X,counting unit for general items
같이,X,together
감기,感氣,cold
갈아타다,X,to transfer
갈색,褐色,brown
간호사,看護師,nurse
가족,家族,family
가방,街坊,bag
가르치다,X,to teach
가다,X,to go
가게,X,store / shop
