,hangul_char,hanja_char,definitions
87,본,本,"root | stem | origin | source | this | the current | original | inherent | originally | classifier for books, periodicals, files etc | "
88,부,夫,husband | man | manual worker | conscripted laborer (old) | 
88,부,夫,"(classical) this, that | he, she, they | (exclamatory final particle) | (initial particle, introduces an opinion) | "
89,부,釜,kettle | cauldron | 
90,분,分,to divide | to separate | to distribute | to allocate | to distinguish (good and bad) | part or subdivision | fraction | one tenth (of certain units) | unit of length equivalent to 0.33 cm | minute (unit of time) | minute (angular measurement unit) | a point (in sports or games) | 0.01 yuan (unit of money) | 
90,분,分,part | share | ingredient | component | 
91,비,飛,
92,사,事,"matter | thing | item | work | affair | CL:件[jian4],樁|桩[zhuang1],回[hui2] | "
93,사,四,four | 4 | 
94,사,寫,
95,사,師,
96,사,沙,surname Sha | 
96,사,沙,granule | hoarse | raspy | sand | powder | CL:粒[li4] | abbr. for Tsar or Tsarist Russia | 
97,사,社,society | group | club | agency | (old) god of the land | 
98,사,舍,to give up | to abandon | to give alms | 
98,사,舍,surname She | 
98,사,舍,old variant of 捨|舍[she3] | 
98,사,舍,residence | 
99,사,辭,
100,산,傘,
101,산,山,surname Shan | 
101,산,山,mountain | hill | anything that resembles a mountain | CL:座[zuo4] | bundled straw in which silkworms spin cocoons | gable | 
102,삼,三,surname San | 
102,삼,三,three | 3 | 
103,상,常,surname Chang | 
103,상,常,always | ever | often | frequently | common | general | constant | 
104,상,床,bed | couch | classifier for beds | CL:張|张[zhang1] | 
104,상,床,variant of 床[chuang2] | 
105,색,色,color | CL:種|种[zhong3] | look | appearance | sex | 
105,색,色,color | dice | 
106,생,生,to be born | to give birth | life | to grow | raw | uncooked | student | 
107,서,書,
108,석,夕,dusk | evening | Taiwan pr. [xi4] | 
109,선,線,
110,선,鮮,
111,성,姓,family name | surname | CL:個|个[ge4] | to be surnamed | 
112,세,洗,to wash | to bathe | to develop (photo) | 
113,소,小,small | tiny | few | young | 
114,소,所,"actually | place | classifier for houses, small buildings, institutions etc | that which | particle introducing a relative clause or passive | CL:個|个[ge4] | "
115,소,掃,
116,속,束,surname Shu | 
116,속,束,"to bind | bunch | bundle | classifier for bunches, bundles, beams of light etc | to control | "
117,수,水,surname Shui | 
117,수,水,water | river | liquid | beverage | additional charges or income | (of clothes) classifier for number of washes | 
118,숙,宿,old variant of 宿[su4] | 
118,숙,宿,surname Su | 
118,숙,宿,lodge for the night | old | former | 
118,숙,宿,night | classifier for nights | 
118,숙,宿,constellation | 
119,시,十,ten | 10 | 
120,시,市,market | city | CL:個|个[ge4] | 
121,시,時,
122,시,試,
123,식,食,to eat | food | animal feed | eclipse | 
123,식,食,to feed (a person or animal) | 
124,신,新,abbr. for Xinjiang 新疆[Xin1 jiang1] or Singapore 新加坡[Xin1 jia1 po1] | surname Xin | 
124,신,新,new | newly | meso- (chemistry) | 
125,실,室,surname Shi | 
125,실,室,room | work unit | grave | scabbard | family or clan | one of the 28 constellations of Chinese astronomy | 
126,심,心,"heart | mind | intention | center | core | CL:顆|颗[ke1],個|个[ge4] | "
127,십,十,ten | 10 | 
128,악,樂,
129,안,案,(legal) case | incident | record | file | table | 
130,야,野,old variant of 野[ye3] | 
130,야,野,erroneous variant of 野[ye3] | 
130,야,野,field | plain | open space | limit | boundary | rude | feral | 
131,약,約,
132,약,藥,
133,어,語,
134,업,業,
135,여,女,female | woman | daughter | 
135,여,女,archaic variant of 汝[ru3] | 
136,여,旅,trip | travel | to travel | brigade (army) | 
137,역,驛,
138,연,硏,variant of 研[yan2] | 
139,연,鉛,
140,엽,葉,
141,영,映,to reflect (light) | to shine | to project (an image onto a screen etc) | 
141,영,映,old variant of 映[ying4] | 
142,영,泳,swimming | to swim | 
143,영,英,United Kingdom | British | England | English | abbr. for 英國|英国[Ying1 guo2] | 
143,영,英,hero | outstanding | excellent | (literary) flower | blossom | 
144,오,五,five | 5 | 
145,오,午,"7th earthly branch: 11 a.m.-1 p.m., noon, 5th solar month (6th June-6th July), year of the Horse | ancient Chinese compass point: 180° (south) | "
146,온,溫,
147,외,外,outside | in addition | foreign | external | 
148,요,料,material | stuff | grain | feed | to expect | to anticipate | to guess | 
149,요,曜,bright | glorious | one of the seven planets of premodern astronomy | 
150,용,用,to use | to employ | to have to | to eat or drink | expense or outlay | usefulness | hence | therefore | 
151,우,牛,surname Niu | 
151,우,牛,"ox | cow | bull | CL:條|条[tiao2],頭|头[tou2] | newton (abbr. for 牛頓|牛顿[niu2 dun4]) | (slang) awesome | "
152,우,郵,
153,우,雨,"rain | CL:陣|阵[zhen4],場|场[chang2] | "
153,우,雨,"(literary) to rain | (of rain, snow etc) to fall | to precipitate | to wet | "
154,운,運,
155,원,員,
156,원,園,
157,원,院,courtyard | institution | CL:個|个[ge4] | 
158,월,月,"moon | month | monthly | CL:個|个[ge4],輪|轮[lun2] | "
159,유,乳,breast | milk | 
160,은,銀,
161,음,音,sound | noise | note (of musical scale) | tone | news | syllable | reading (phonetic value of a character) | 
162,음,飮,variant of 飲|饮[yin3] | 
163,의,椅,chair | 
164,의,醫,
165,이,二,two | 2 | (Beijing dialect) stupid | 
166,이,利,surname Li | 
166,이,利,sharp | favorable | advantage | benefit | profit | interest | to do good to | to benefit | 
167,인,仁,humane | kernel | 
168,일,一,"one | 1 | single | a (article) | as soon as | entire | whole | all | throughout | ""one"" radical in Chinese characters (Kangxi radical 1) | also pr. [yao1] for greater clarity when spelling out numbers digit by digit | "
169,일,日,"abbr. for 日本[Ri4 ben3], Japan | "
169,일,日,"sun | day | date, day of the month | "
170,일,逸,to escape | leisurely | outstanding | 
