,hangul_word,hanja_word_with_x,English_translation
250,오후,午後,afternoon / p.m.
251,오전,午前,morning / a.m.
252,오월,五月,May
253,오빠,X,elder brother from a female perspective
254,오른쪽,X,right side
255,오렌지,X,orange
256,오다,X,to come
257,오늘,X,today
258,오,X,five
259,예약하다,X,to reserve
261,옆,X,beside side
262,영화,映畵,movie
263,영어,英語,English (language)
264,영국,英國,the United Kingdom
265,엽서,葉書,postcard
266,열다,X,to open
267,연필,鉛筆,pencil
268,연구원,硏究員,researcher
269,여행하다,X,to travel
270,여행사,旅行社,travel agency
271,여행,旅行,trip travel
272,여자,女子,woman female
273,여섯,X,six
274,여동생,女同生,younger sister
275,여덟,X,eight
276,여기,X,here
277,없다,X,not to have
278,얼마나,X,how long
279,얼마,X,how much
280,언제,X,when
281,어제,X,yesterday
282,어머니,X,mother
283,어렵다,X,difficult
284,어떻게,X,how
285,어떤,X,what kind of
286,어디,X,where
287,어깨,X,shoulder
288,약속,約束,appointment
289,약국,藥局,pharmacy
290,약,X,medicine
291,야채,野菜,vegetable
292,야구,野球,baseball
293,앞,X,front
294,앉다,X,to sit down
295,안내,案內,information guide
296,악수하다,X,to shake hands
297,아홉,X,nine
298,아프리카,X,Africa
299,아침,X,morning
300,아직,X,"(not) yet, still"
301,아이스크림,X,ice cream
302,아이,X,child
303,아버지,X,father
304,아래,X,under / below
305,아들,X,son
306,아내,X,wife
307,아까,X,"earlier (today), a while ago (today)"
308,아기,X,baby
309,씨,X,"Mr., Miss, Mrs., Ms."
310,싸다,X,cheap
311,십일월,十一月,November
312,십이월,十二月,December
313,십만,十萬,hundred thousand
314,십,X,ten
315,심심하다,X,bored
316,신발,X,shoes
317,신문,新聞,newspaper
318,신다,X,to put on (shoes)
319,식당,食堂,restaurant
320,시험,試驗,test
321,시청역,X,City Hall Station
322,시청,市廳,city hall
323,시장,市場,market
324,시월,十月,October
325,시내,市內,downtown
326,시끄럽다,X,noisy
327,시계,時計,watch / clock
328,시간표,時間表,time table
329,시간,時間,hour
330,시,X,o'clock
331,슬프다,X,sad
332,스파게티,X,spaghetti
333,스키장,X,ski resort
334,스키,X,skiing
335,쉽다,X,easy
336,쉬다,X,to rest
337,술,X,liquor
338,숟가락,X,spoon
339,숙제하다,X,to do homework
340,숙제,宿題,homework
341,수요일,水曜日,Wednesday
342,수영하다,X,to swim
343,수영장,水泳場,swimming pool
344,수영,水泳,swimming
345,손님,X,customer / guest
346,손,X,hand
347,소포,小包,parcel
348,소파,X,sofa
349,셋,X,three
350,세탁소,洗濯所,dry cleaner's
351,세일,X,sale
352,세우다,X,to stop
353,세,X,three (when modifying a counting unit that follows)
354,성함,姓銜,name (honorific)
355,선생님,X,teacher
356,서울,X,Seoul
357,샤워하다,X,to take a shower
358,생일,生日,birthday
359,생선회,生鮮膾,sliced raw fish
360,생선,生鮮,fish
361,생각,X,thinking / thought
362,색,X,color
363,삼월,三月,March
364,삼성역,X,Samseong Station
365,삼,X,three
366,살다,X,to live
367,산,X,mountain
368,사진,寫眞,photograph
369,사전,辭典,dictionary
370,사월,四月,April
371,사용하다,X,to use
372,사무실,事務室,office
373,사랑하다,X,to love
374,사다,X,to buy
375,사과,沙果,apple
376,사,X,four
377,빵,X,bread
378,빨리,X,quickly
379,빨래하다,X,to do laundry
380,빨간색,X,red
381,빠르다,X,to be fast
382,빌딩,X,building
383,비행기,飛行機,airplane
385,비빔밥,X,bibimbap
386,비,X,rain
387,브라질,X,Brasil
388,불고기,X,bulgogi
389,부치다,X,to send / to mail
390,부엌,X,kitchen
391,부산,釜山,Busan
392,볼펜,X,ball-point pen
393,복잡하다,X,crowded jammed
394,병원,病院,hospital
395,병,X,counting unit for bottles
396,별로,X,"not really, not particularly"
397,베트남,X,Vietnam
398,베이징,X,Beijing
399,벗다,X,to take off
400,벌써,X,already
401,번,X,counting unit after number
402,버스,X,bus
403,백화점,百貨店,department store
404,백,X,hundred
405,배우다,X,to learn
407,방학,放學,school holidays
408,방콕,X,Bangkok
410,발,X,foot
411,받다,X,to receive /to take /to get
412,반,X,half
413,밖,X,outside
414,바지,X,trousers pants
416,바다,X,sea ocean
417,바나나,X,banana
418,미안하다,X,sorry
419,미국,美國,the United States of America
420,뭐,X,what
421,물,X,water
422,문,X,door
426,목요일,木曜日,Thursday
427,모자,帽子,hat / cap
428,몇,X,how many
429,명동역,X,Myeongdong Station
430,명동,鳴動,Myeong-dong
431,명,X,counting unit for people
432,며칠,X,what date
433,메뉴,X,menu
434,멋있다,X,"to be nice, to be stylish"
436,먹다,X,to eat
437,머리,X,head
439,맥주,麥酒,beer
440,맞다,X,right
441,맛있다,X,tasty / delicious
442,맛없다,X,untasty
443,말하기,X,speaking
444,말레이시아,X,Malaysia
445,많다,X,many / much
446,만지다,X,to touch
447,만들다,X,to make
448,만나다,X,to meet
449,마드리드,X,Madrid
450,로마,X,Rome
451,런던,X,London
452,똑똑하다,X,smart
453,또,X,again / once more
454,땀,X,sweat
455,딸,X,daughter
456,따뜻하다,X,warm
457,등산,登山,mountain climbing / hiking
458,들어가다,X,to go in to enter
459,들다,X,to be contained
460,드시다,X,to eat (honorific)
461,드라마,X,drama (TV series)
462,뒷사람,X,person behind
463,뒤,X,behind
464,둘,X,two
465,두,X,two (when modifying a counting unit that follows)
466,동생,同生,younger brother or sister
467,돈,X,money
468,독일,獨逸,Germany
469,도쿄,X,Tokyo
470,도착하다,X,to arrive
471,도와주다,X,to help
472,도서관,圖書館,library
474,더,X,more
475,담배,X,cigarette
476,달리다,X,to run
477,달러,X,dollar
478,달,X,month
479,닫다,X,to close
480,다치다,X,to be hurt
481,다이어트,X,diet
482,다음,X,next
483,다섯,X,five
484,다리,X,leg
485,다른,X,other
486,다니다,X,to go to (a company) / to work for
487,늦다,X,to be late
488,뉴욕,X,New York
489,뉴스,X,news
490,눈사람,X,snowman
491,누나,X,elder sister from a male perspective
492,누구,X,who
493,누가,X,who
494,높다,X,high
495,녹차,綠茶,green tea
496,녹색,綠色,green
497,노래하다,X,to sing
498,노란색,X,yellow
499,년,X,year
500,넷,X,four
501,네,X,four (when modifying a counting unit that follows)
